SN,Train_No,Station_Code,1A,2A,3A,SL,Station_Name,Route_Number,Arrival_time,Departure_Time,Distance,Arrival_Minutes,Departure_Minutes,Arrival_Formatted,Departure_Formatted
18,128,LNL,3040,2452,1864,1276,LONAVLA,1,08:30:00,08:33:00,588,510.0,513.0,08:30,08:33
19,128,PUNE,3360,2708,2056,1404,PUNE JN.,1,10:30:00,10:45:00,652,630.0,645.0,10:30,10:45
20,128,STR,4085,3288,2491,1694,SATARA,1,13:42:00,13:45:00,797,822.0,825.0,13:42,13:45
21,128,MRJ,4755,3824,2893,1962,MIRAJ JN.,1,16:25:00,16:35:00,931,985.0,995.0,16:25,16:35
22,128,KOP,4990,4012,3034,2056,CHHATRAPATI,1,17:45:00,17:45:00,978,1065.0,1065.0,17:45,17:45
1,290,DSJ,100,100,100,100,DELHI-SAFDAR,1,18:30:00,18:30:00,0,1110.0,1110.0,18:30,18:30
2,290,GADJ,1630,1324,1018,712,GANDHINAGAR,1,03:45:00,07:45:00,306,225.0,465.0,03:45,07:45
3,290,JP,1655,1344,1033,722,JAIPUR JN.,1,08:00:00,11:55:00,311,480.0,715.0,08:00,11:55
4,290,DPA,1690,1372,1054,736,DURGAPURA,1,18:00:00,20:00:00,318,1080.0,1200.0,18:00,20:00
5,290,SWM,2310,1868,1426,984,SAWAI MADHOP,1,04:45:00,08:40:00,442,285.0,520.0,04:45,08:40
6,290,COR,3635,2928,2221,1514,CHITTAURGARH,1,00:05:00,02:00:00,707,5.0,120.0,00:05,02:00
7,290,UDZ,4205,3384,2563,1742,UDAIPUR CITY,1,08:00:00,11:00:00,821,480.0,660.0,08:00,11:00
8,290,JSM,8400,6740,5080,3420,JAISALMER,1,09:15:00,13:00:00,1660,555.0,780.0,09:15,13:00
9,290,MDB,9855,7904,5953,4002,MANDOR,1,07:00:00,10:50:00,1951,420.0,650.0,07:00,10:50
10,290,FL,11165,8952,6739,4526,PHULERA JN.,1,22:00:00,22:55:00,2213,1320.0,1375.0,22:00,22:55
11,290,BTE,12375,9920,7465,5010,BHARATPUR JN,1,05:00:00,08:45:00,2455,300.0,525.0,05:00,08:45
12,290,IDH,12635,10128,7621,5114,IDGAH,1,11:00:00,11:30:00,2507,660.0,690.0,11:00,11:30
13,290,AGC,12640,10132,7624,5116,AGRA CANTT,1,19:00:00,19:30:00,2508,1140.0,1170.0,19:00,19:30
14,290,DSJ,13570,10876,8182,5488,DELHI-SAFDAR,1,02:30:00,02:30:00,2694,150.0,150.0,02:30,02:30
1,401,AWB,100,100,100,100,AURANGABAD,1,21:30:00,21:30:00,0,1290.0,1290.0,21:30,21:30
2,401,MMR,755,624,493,362,MANMAD JN.,1,01:20:00,01:30:00,131,80.0,90.0,01:20,01:30
3,401,BSL,1675,1360,1045,730,BHUSAVAL JN.,1,05:20:00,05:30:00,315,320.0,330.0,05:20,05:30
4,401,KNW,2290,1852,1414,976,KHANDWA JN.,1,07:30:00,07:35:00,438,450.0,455.0,07:30,07:35
5,401,JHS,5115,4112,3109,2106,JHANSI JN,1,14:55:00,15:05:00,1003,895.0,905.0,14:55,15:05
6,401,CNB,6205,4984,3763,2542,KANPUR CENTR,1,19:10:00,19:15:00,1221,1150.0,1155.0,19:10,19:15
7,401,LKO,6575,5280,3985,2690,LUCKNOW JN.,1,23:50:00,23:55:00,1295,1430.0,1435.0,23:50,23:55
8,401,BBK,6715,5392,4069,2746,BARA BANKI J,1,01:15:00,01:20:00,1323,75.0,80.0,01:15,01:20
9,401,AY,7250,5820,4390,2960,AYODHYA,1,04:45:00,04:50:00,1430,285.0,290.0,04:45,04:50
10,401,SHG,7735,6208,4681,3154,SHAHGANJ JN.,1,07:10:00,07:15:00,1527,430.0,435.0,07:10,07:15
11,401,JNU,7905,6344,4783,3222,JAUNPUR JN.,1,08:00:00,08:05:00,1561,480.0,485.0,08:00,08:05
12,401,BSB,8190,6572,4954,3336,VARANASI JN.,1,10:00:00,10:00:00,1618,600.0,600.0,10:00,10:00
1,421,LKO,100,100,100,100,LUCKNOW JN.,1,23:00:00,23:00:00,0,1380.0,1380.0,23:00,23:00
2,421,FGR,1135,928,721,514,FATEHGARH,1,03:03:00,03:30:00,207,183.0,210.0,03:03,03:30
3,421,KSJ,1695,1376,1057,738,KASGANJ JN.,1,06:00:00,06:30:00,319,360.0,390.0,06:00,06:30
4,421,BE,2380,1924,1468,1012,BAREILLY JN.,1,09:42:00,09:47:00,456,582.0,587.0,09:42,09:47
5,421,SVDK,6480,5204,3928,2652,SHRI MATA VA,1,08:00:00,08:00:00,1276,480.0,480.0,08:00,08:00
1,422,SVDK,100,100,100,100,SHRI MATA VA,1,11:45:00,11:45:00,0,705.0,705.0,11:45,11:45
2,422,BE,4200,3380,2560,1740,BAREILLY JN.,1,03:25:00,03:30:00,820,205.0,210.0,03:25,03:30
3,422,KSJ,4880,3924,2968,2012,KASGANJ JN.,1,06:35:00,07:05:00,956,395.0,425.0,06:35,07:05
4,422,FGR,5445,4376,3307,2238,FATEHGARH,1,09:30:00,09:35:00,1069,570.0,575.0,09:30,09:35
5,422,LKO,6485,5208,3931,2654,LUCKNOW JN.,1,14:30:00,14:30:00,1277,870.0,870.0,14:30,14:30
1,477,SSA,100,100,100,100,SIRSA,1,12:10:00,12:10:00,0,730.0,730.0,12:10,12:10
2,477,HSR,505,424,343,262,HISAR JN,1,13:55:00,14:25:00,81,835.0,865.0,13:55,14:25
3,477,BNW,805,664,523,382,BHIWANI JN.,1,15:55:00,16:20:00,141,955.0,980.0,15:55,16:20
4,477,ROK,1045,856,667,478,ROHTAK JN.,1,17:38:00,17:40:00,189,1058.0,1060.0,17:38,17:40
5,477,DSJ,1685,1368,1051,734,DELHI-SAFDAR,1,20:13:00,20:15:00,317,1213.0,1215.0,20:13,20:15
6,477,CNB,3910,3148,2386,1624,KANPUR CENTR,1,05:30:00,05:35:00,762,330.0,335.0,05:30,05:35
7,477,MGS,5590,4492,3394,2296,MUGHAL SARAI,1,12:40:00,12:50:00,1098,760.0,770.0,12:40,12:50
8,477,MGS,7665,6152,4639,3126,MUGHAL SARAI,1,16:10:00,16:20:00,1513,970.0,980.0,16:10,16:20
9,477,CNB,9350,7500,5650,3800,KANPUR CENTR,1,21:00:00,21:05:00,1850,1260.0,1265.0,21:00,21:05
10,477,DSJ,11595,9296,6997,4698,DELHI-SAFDAR,1,07:13:00,07:15:00,2299,433.0,435.0,07:13,07:15
11,477,ROK,12230,9804,7378,4952,ROHTAK JN.,1,09:43:00,09:45:00,2426,583.0,585.0,09:43,09:45
12,477,BNW,12470,9996,7522,5048,BHIWANI JN.,1,11:05:00,11:35:00,2474,665.0,695.0,11:05,11:35
13,477,HSR,12770,10236,7702,5168,HISAR JN,1,13:10:00,13:40:00,2534,790.0,820.0,13:10,13:40
14,477,SSA,13180,10564,7948,5332,SIRSA,1,15:20:00,15:20:00,2616,920.0,920.0,15:20,15:20
1,502,RJPB,100,100,100,100,RAJENDRANAGA,1,10:30:00,10:30:00,0,630.0,630.0,10:30,10:30
2,502,MGS,1145,936,727,518,MUGHAL SARAI,1,14:00:00,14:10:00,209,840.0,850.0,14:00,14:10
3,502,CNB,2885,2328,1771,1214,KANPUR CENTR,1,20:30:00,20:35:00,557,1230.0,1235.0,20:30,20:35
4,502,DSJ,5085,4088,3091,2094,DELHI-SAFDAR,1,04:20:00,04:45:00,997,260.0,285.0,04:20,04:45
5,502,SNP,5360,4308,3256,2204,SONIPAT,1,05:50:00,05:55:00,1052,350.0,355.0,05:50,05:55
6,502,PNP,5585,4488,3391,2294,PANIPAT JN.,1,06:35:00,06:40:00,1097,395.0,400.0,06:35,06:40
7,502,KUN,5755,4624,3493,2362,KARNAL,1,07:25:00,07:30:00,1131,445.0,450.0,07:25,07:30
8,502,KKDE,5920,4756,3592,2428,KURUKSHETRA,1,08:05:00,08:10:00,1164,485.0,490.0,08:05,08:10
9,502,UMB,6130,4924,3718,2512,AMBALA CANTT,1,09:30:00,09:30:00,1206,570.0,570.0,09:30,09:30
1,504,PNBE,100,100,100,100,PATNA JN.,1,09:00:00,09:00:00,0,540.0,540.0,09:00,09:00
2,504,MGS,1135,928,721,514,MUGHAL SARAI,1,12:30:00,12:40:00,207,750.0,760.0,12:30,12:40
3,504,BTI,6665,5352,4039,2726,BATHINDA JN,1,10:00:00,10:00:00,1313,600.0,600.0,10:00,10:00
1,506,PNBE,100,100,100,100,PATNA JN.,1,14:15:00,14:15:00,0,855.0,855.0,14:15,14:15
2,506,MGS,1135,928,721,514,MUGHAL SARAI,1,18:10:00,18:15:00,207,1090.0,1095.0,18:10,18:15
3,506,PTA,5905,4744,3583,2422,PATIALA,1,15:45:00,15:45:00,1161,945.0,945.0,15:45,15:45
1,557,URK,100,100,100,100,URKURA,1,23:30:00,23:30:00,0,1410.0,1410.0,23:30,23:30
2,557,PJP,6605,5304,4003,2702,PANJIPARA,1,11:00:00,11:00:00,1301,660.0,660.0,11:00,11:00
1,604,PNBE,100,100,100,100,PATNA JN.,1,12:30:00,12:30:00,0,750.0,750.0,12:30,12:30
2,604,MGS,1135,928,721,514,MUGHAL SARAI,1,16:20:00,16:30:00,207,980.0,990.0,16:20,16:30
3,604,ASR,7245,5816,4387,2958,AMRITSAR JN.,1,16:00:00,16:00:00,1429,960.0,960.0,16:00,16:00
1,1011,CSMT,100,100,100,100,CST-MUMBAI,1,00:20:00,00:20:00,0,20.0,20.0,00:20,00:20
2,1011,DR,140,132,124,116,DADAR,1,00:37:00,00:40:00,8,37.0,40.0,00:37,00:40
3,1011,TNA,265,232,199,166,THANE,1,01:07:00,01:10:00,33,67.0,70.0,01:07,01:10
4,1011,KYN,365,312,259,206,KALYAN JN,1,01:32:00,01:35:00,53,92.0,95.0,01:32,01:35
5,1011,IGP,780,644,508,372,IGATPURI,1,03:40:00,03:45:00,136,220.0,225.0,03:40,03:45
6,1011,NK,1035,848,661,474,NASIK ROAD,1,04:27:00,04:30:00,187,267.0,270.0,04:27,04:30
7,1011,MMR,1400,1140,880,620,MANMAD JN.,1,05:27:00,05:30:00,260,327.0,330.0,05:27,05:30
8,1011,JL,2195,1776,1357,938,JALGAON JN.,1,07:08:00,07:10:00,419,428.0,430.0,07:08,07:10
9,1011,BSL,2320,1876,1432,988,BHUSAVAL JN.,1,07:35:00,07:45:00,444,455.0,465.0,07:35,07:45
10,1011,MKU,2595,2096,1597,1098,MALKAPUR,1,08:18:00,08:20:00,499,498.0,500.0,08:18,08:20
11,1011,SEG,2855,2304,1753,1202,SHEGAON,1,08:58:00,09:00:00,551,538.0,540.0,08:58,09:00
12,1011,AK,3040,2452,1864,1276,AKOLA JN.,1,09:25:00,09:28:00,588,565.0,568.0,09:25,09:28
13,1011,MZR,3230,2604,1978,1352,MURTAJAPUR J,1,10:02:00,10:05:00,626,602.0,605.0,10:02,10:05
14,1011,BD,3435,2768,2101,1434,BADNERA JN.,1,11:02:00,11:05:00,667,662.0,665.0,11:02,11:05
15,1011,DMN,3665,2952,2239,1526,DHAMANGAON,1,11:41:00,11:42:00,713,701.0,702.0,11:41,11:42
16,1011,PLO,3765,3032,2299,1566,PULGAON JN.,1,11:58:00,11:59:00,733,718.0,719.0,11:58,11:59
17,1011,WR,3910,3148,2386,1624,WARDHA JN.,1,12:32:00,12:35:00,762,752.0,755.0,12:32,12:35
18,1011,NGP,4305,3464,2623,1782,NAGPUR JN.(C,1,14:20:00,14:20:00,841,860.0,860.0,14:20,14:20
1,1037,LTT,100,100,100,100,LOKMANYA TIL,1,01:10:00,01:10:00,0,70.0,70.0,01:10,01:10
2,1037,TNA,185,168,151,134,THANE,1,01:33:00,01:35:00,17,93.0,95.0,01:33,01:35
3,1037,PNVL,370,316,262,208,PANVEL,1,02:10:00,02:13:00,54,130.0,133.0,02:10,02:13
4,1037,ROHA,755,624,493,362,ROHA,1,03:53:00,04:00:00,131,233.0,240.0,03:53,04:00
5,1037,KHED,1275,1040,805,570,KHED,1,05:06:00,05:08:00,235,306.0,308.0,05:06,05:08
6,1037,CHI,1420,1156,892,628,CHIPLUN,1,05:30:00,05:40:00,264,330.0,340.0,05:30,05:40
7,1037,RN,1800,1460,1120,780,RATNAGIRI,1,06:55:00,07:00:00,340,415.0,420.0,06:55,07:00
8,1037,KKW,2420,1956,1492,1028,KANKAVALI,1,09:05:00,09:07:00,464,545.0,547.0,09:05,09:07
9,1037,KUDL,2560,2068,1576,1084,KUDAL,1,09:32:00,09:34:00,492,572.0,574.0,09:32,09:34
10,1037,SWV,2665,2152,1639,1126,SAWANTWADI R,1,10:30:00,10:30:00,513,630.0,630.0,10:30,10:30
1,1038,SWV,100,100,100,100,SAWANTWADI R,1,14:05:00,14:05:00,0,845.0,845.0,14:05,14:05
2,1038,KUDL,200,180,160,140,KUDAL,1,14:57:00,14:59:00,20,897.0,899.0,14:57,14:59
3,1038,KKW,340,292,244,196,KANKAVALI,1,15:28:00,15:30:00,48,928.0,930.0,15:28,15:30
4,1038,RN,900,740,580,420,RATNAGIRI,1,17:17:00,17:22:00,160,1037.0,1042.0,17:17,17:22
5,1038,CHI,1290,1052,814,576,CHIPLUN,1,18:20:00,18:30:00,238,1100.0,1110.0,18:20,18:30
6,1038,KHED,1440,1172,904,636,KHED,1,18:52:00,18:54:00,268,1132.0,1134.0,18:52,18:54
7,1038,ROHA,1955,1584,1213,842,ROHA,1,21:30:00,21:35:00,371,1290.0,1295.0,21:30,21:35
8,1038,PNVL,2345,1896,1447,998,PANVEL,1,22:40:00,22:43:00,449,1360.0,1363.0,22:40,22:43
9,1038,TNA,2530,2044,1558,1072,THANE,1,23:20:00,23:25:00,486,1400.0,1405.0,23:20,23:25
10,1038,LTT,2615,2112,1609,1106,LOKMANYA TIL,1,00:20:00,00:20:00,503,20.0,20.0,00:20,00:20
1,1045,LTT,100,100,100,100,LOKMANYA TIL,1,01:10:00,01:10:00,0,70.0,70.0,01:10,01:10
2,1045,TNA,185,168,151,134,THANE,1,01:33:00,01:35:00,17,93.0,95.0,01:33,01:35
3,1045,PNVL,370,316,262,208,PANVEL,1,02:10:00,02:13:00,54,130.0,133.0,02:10,02:13
4,1045,ROHA,755,624,493,362,ROHA,1,03:53:00,04:00:00,131,233.0,240.0,03:53,04:00
5,1045,KHED,1275,1040,805,570,KHED,1,05:06:00,05:08:00,235,306.0,308.0,05:06,05:08
6,1045,CHI,1420,1156,892,628,CHIPLUN,1,05:30:00,05:40:00,264,330.0,340.0,05:30,05:40
7,1045,RN,1800,1460,1120,780,RATNAGIRI,1,06:55:00,07:00:00,340,415.0,420.0,06:55,07:00
8,1045,KKW,2420,1956,1492,1028,KANKAVALI,1,09:05:00,09:07:00,464,545.0,547.0,09:05,09:07
9,1045,KUDL,2560,2068,1576,1084,KUDAL,1,09:32:00,09:34:00,492,572.0,574.0,09:32,09:34
10,1045,THVM,2825,2280,1735,1190,THIVIM,1,10:34:00,10:36:00,545,634.0,636.0,10:34,10:36
11,1045,KRMI,2915,2352,1789,1226,KARMALI,1,11:00:00,11:00:00,563,660.0,660.0,11:00,11:00
1,1119,AJNI,100,100,100,100,AJNI,1,19:50:00,19:50:00,0,1190.0,1190.0,19:50,19:50
2,1119,WR,475,400,325,250,WARDHA JN.,1,20:50:00,20:53:00,75,1250.0,1253.0,20:50,20:53
3,1119,PLO,625,520,415,310,PULGAON JN.,1,21:15:00,21:18:00,105,1275.0,1278.0,21:15,21:18
4,1119,DMN,725,600,475,350,DHAMANGAON,1,21:34:00,21:35:00,125,1294.0,1295.0,21:34,21:35
5,1119,BD,955,784,613,442,BADNERA JN.,1,22:37:00,22:40:00,171,1357.0,1360.0,22:37,22:40
6,1119,AK,1350,1100,850,600,AKOLA JN.,1,23:42:00,23:45:00,250,1422.0,1425.0,23:42,23:45
7,1119,SEG,1535,1248,961,674,SHEGAON,1,00:13:00,00:15:00,287,13.0,15.0,00:13,00:15
8,1119,MKU,1795,1456,1117,778,MALKAPUR,1,00:53:00,00:55:00,339,53.0,55.0,00:53,00:55
9,1119,BSL,2070,1676,1282,888,BHUSAVAL JN.,1,01:50:00,02:00:00,394,110.0,120.0,01:50,02:00
10,1119,JL,2190,1772,1354,936,JALGAON JN.,1,02:28:00,02:30:00,418,148.0,150.0,02:28,02:30
11,1119,CSN,2655,2144,1633,1122,CHALISGAON J,1,03:28:00,03:30:00,511,208.0,210.0,03:28,03:30
12,1119,MMR,2990,2412,1834,1256,MANMAD JN.,1,04:28:00,04:30:00,578,268.0,270.0,04:28,04:30
13,1119,NK,3355,2704,2053,1402,NASIK ROAD,1,05:28:00,05:30:00,651,328.0,330.0,05:28,05:30
14,1119,IGP,3610,2908,2206,1504,IGATPURI,1,06:50:00,07:05:00,702,410.0,425.0,06:50,07:05
15,1119,KYN,4025,3240,2455,1670,KALYAN JN,1,09:11:00,09:13:00,785,551.0,553.0,09:11,09:13
16,1119,PNVL,4200,3380,2560,1740,PANVEL,1,10:10:00,10:15:00,820,610.0,615.0,10:10,10:15
17,1119,ROHA,4585,3688,2791,1894,ROHA,1,12:55:00,13:00:00,897,775.0,780.0,12:55,13:00
18,1119,KHED,5105,4104,3103,2102,KHED,1,14:10:00,14:12:00,1001,850.0,852.0,14:10,14:12
19,1119,CHI,5250,4220,3190,2160,CHIPLUN,1,14:42:00,14:44:00,1030,882.0,884.0,14:42,14:44
20,1119,RN,5630,4524,3418,2312,RATNAGIRI,1,16:10:00,16:15:00,1106,970.0,975.0,16:10,16:15
21,1119,KKW,6250,5020,3790,2560,KANKAVALI,1,17:54:00,17:56:00,1230,1074.0,1076.0,17:54,17:56
22,1119,KUDL,6390,5132,3874,2616,KUDAL,1,18:20:00,18:22:00,1258,1100.0,1102.0,18:20,18:22
23,1119,THVM,6655,5344,4033,2722,THIVIM,1,19:34:00,19:36:00,1311,1174.0,1176.0,19:34,19:36
24,1119,KRMI,6745,5416,4087,2758,KARMALI,1,20:30:00,20:30:00,1329,1230.0,1230.0,20:30,20:30
1,1120,KRMI,100,100,100,100,KARMALI,1,21:30:00,21:30:00,0,1290.0,1290.0,21:30,21:30
2,1120,THVM,185,168,151,134,THIVIM,1,21:46:00,21:48:00,17,1306.0,1308.0,21:46,21:48
3,1120,KUDL,450,380,310,240,KUDAL,1,22:40:00,22:42:00,70,1360.0,1362.0,22:40,22:42
4,1120,KKW,590,492,394,296,KANKAVALI,1,23:08:00,23:10:00,98,1388.0,1390.0,23:08,23:10
5,1120,RN,1150,940,730,520,RATNAGIRI,1,01:05:00,01:10:00,210,65.0,70.0,01:05,01:10
6,1120,CHI,1540,1252,964,676,CHIPLUN,1,02:30:00,02:32:00,288,150.0,152.0,02:30,02:32
7,1120,KHED,1690,1372,1054,736,KHED,1,03:08:00,03:10:00,318,188.0,190.0,03:08,03:10
8,1120,ROHA,2205,1784,1363,942,ROHA,1,05:00:00,05:05:00,421,300.0,305.0,05:00,05:05
9,1120,PNVL,2590,2092,1594,1096,PANVEL,1,06:20:00,06:25:00,498,380.0,385.0,06:20,06:25
10,1120,KYN,2765,2232,1699,1166,KALYAN JN,1,07:33:00,07:35:00,533,453.0,455.0,07:33,07:35
11,1120,IGP,3185,2568,1951,1334,IGATPURI,1,09:25:00,09:40:00,617,565.0,580.0,09:25,09:40
12,1120,NK,3435,2768,2101,1434,NASIK ROAD,1,10:20:00,10:22:00,667,620.0,622.0,10:20,10:22
13,1120,MMR,3800,3060,2320,1580,MANMAD JN.,1,11:15:00,11:17:00,740,675.0,677.0,11:15,11:17
14,1120,CSN,4135,3328,2521,1714,CHALISGAON J,1,12:18:00,12:20:00,807,738.0,740.0,12:18,12:20
15,1120,JL,4600,3700,2800,1900,JALGAON JN.,1,13:18:00,13:20:00,900,798.0,800.0,13:18,13:20
16,1120,BSL,4720,3796,2872,1948,BHUSAVAL JN.,1,13:45:00,13:55:00,924,825.0,835.0,13:45,13:55
17,1120,MKU,4995,4016,3037,2058,MALKAPUR,1,14:33:00,14:35:00,979,873.0,875.0,14:33,14:35
18,1120,SEG,5260,4228,3196,2164,SHEGAON,1,15:08:00,15:10:00,1032,908.0,910.0,15:08,15:10
19,1120,AK,5445,4376,3307,2238,AKOLA JN.,1,15:40:00,15:43:00,1069,940.0,943.0,15:40,15:43
20,1120,BD,5840,4692,3544,2396,BADNERA JN.,1,17:32:00,17:35:00,1148,1052.0,1055.0,17:32,17:35
21,1120,DMN,6065,4872,3679,2486,DHAMANGAON,1,18:09:00,18:10:00,1193,1089.0,1090.0,18:09,18:10
22,1120,PLO,6165,4952,3739,2526,PULGAON JN.,1,18:24:00,18:27:00,1213,1104.0,1107.0,18:24,18:27
23,1120,WR,6315,5072,3829,2586,WARDHA JN.,1,19:00:00,19:03:00,1243,1140.0,1143.0,19:00,19:03
24,1120,AJNI,6695,5376,4057,2738,AJNI,1,22:00:00,22:00:00,1319,1320.0,1320.0,22:00,22:00
1,1122,KRMI,100,100,100,100,KARMALI,1,22:30:00,22:30:00,0,1350.0,1350.0,22:30,22:30
2,1122,THVM,185,168,151,134,THIVIM,1,22:44:00,22:46:00,17,1364.0,1366.0,22:44,22:46
3,1122,SWV,345,296,247,198,SAWANTWADI R,1,23:18:00,23:20:00,49,1398.0,1400.0,23:18,23:20
4,1122,KUDL,450,380,310,240,KUDAL,1,23:38:00,23:40:00,70,1418.0,1420.0,23:38,23:40
5,1122,KKW,590,492,394,296,KANKAVALI,1,00:10:00,00:12:00,98,10.0,12.0,00:10,00:12
6,1122,RN,1150,940,730,520,RATNAGIRI,1,01:55:00,02:00:00,210,115.0,120.0,01:55,02:00
7,1122,SGR,1330,1084,838,592,SANGMESHWAR,1,02:32:00,02:34:00,246,152.0,154.0,02:32,02:34
8,1122,CHI,1540,1252,964,676,CHIPLUN,1,03:14:00,03:16:00,288,194.0,196.0,03:14,03:16
9,1122,KHED,1690,1372,1054,736,KHED,1,03:38:00,03:40:00,318,218.0,220.0,03:38,03:40
10,1122,ROHA,2205,1784,1363,942,ROHA,1,06:40:00,06:45:00,421,400.0,405.0,06:40,06:45
11,1122,PNVL,2590,2092,1594,1096,PANVEL,1,07:55:00,08:00:00,498,475.0,480.0,07:55,08:00
12,1122,TNA,2780,2244,1708,1172,THANE,1,09:28:00,09:30:00,536,568.0,570.0,09:28,09:30
13,1122,DR,2900,2340,1780,1220,DADAR,1,10:10:00,10:13:00,560,610.0,613.0,10:10,10:13
14,1122,CSMT,2945,2376,1807,1238,CST-MUMBAI,1,10:30:00,10:30:00,569,630.0,630.0,10:30,10:30
1,1196,NGP,100,100,100,100,NAGPUR JN.(C,1,19:50:00,19:50:00,0,1190.0,1190.0,19:50,19:50
2,1196,WR,490,412,334,256,WARDHA JN.,1,20:50:00,20:53:00,78,1250.0,1253.0,20:50,20:53
3,1196,PLO,640,532,424,316,PULGAON JN.,1,21:15:00,21:18:00,108,1275.0,1278.0,21:15,21:18
4,1196,DMN,740,612,484,356,DHAMANGAON,1,21:35:00,21:36:00,128,1295.0,1296.0,21:35,21:36
5,1196,BD,970,796,622,448,BADNERA JN.,1,22:37:00,22:40:00,174,1357.0,1360.0,22:37,22:40
6,1196,AK,1360,1108,856,604,AKOLA JN.,1,23:42:00,23:45:00,252,1422.0,1425.0,23:42,23:45
7,1196,SEG,1550,1260,970,680,SHEGAON,1,00:13:00,00:15:00,290,13.0,15.0,00:13,00:15
8,1196,MKU,1810,1468,1126,784,MALKAPUR,1,00:53:00,00:55:00,342,53.0,55.0,00:53,00:55
9,1196,BSL,2085,1688,1291,894,BHUSAVAL JN.,1,01:50:00,02:00:00,397,110.0,120.0,01:50,02:00
10,1196,JL,2205,1784,1363,942,JALGAON JN.,1,02:28:00,02:30:00,421,148.0,150.0,02:28,02:30
11,1196,CSN,2670,2156,1642,1128,CHALISGAON J,1,03:28:00,03:30:00,514,208.0,210.0,03:28,03:30
12,1196,MMR,3005,2424,1843,1262,MANMAD JN.,1,04:28:00,04:30:00,581,268.0,270.0,04:28,04:30
13,1196,NK,3370,2716,2062,1408,NASIK ROAD,1,05:28:00,05:30:00,654,328.0,330.0,05:28,05:30
14,1196,IGP,3625,2920,2215,1510,IGATPURI,1,06:50:00,07:05:00,705,410.0,425.0,06:50,07:05
15,1196,KYN,4040,3252,2464,1676,KALYAN JN,1,09:11:00,09:13:00,788,551.0,553.0,09:11,09:13
16,1196,PNVL,4215,3392,2569,1746,PANVEL,1,10:10:00,10:15:00,823,610.0,615.0,10:10,10:15
17,1196,ROHA,4600,3700,2800,1900,ROHA,1,12:55:00,13:00:00,900,775.0,780.0,12:55,13:00
18,1196,KHED,5120,4116,3112,2108,KHED,1,14:30:00,14:32:00,1004,870.0,872.0,14:30,14:32
